Категорія ,Назва виробу,Вартість роботи грн/шт,ЗП/день,К-сть виробів/день 1 шв.,К-сть виробів/год 1 шв.,К-ть швей,Виробничі потужності за 1д (3швеї),"Оптимальний тираж , шт.","вартість крою 
оптимального тиражу","Вартість крою одного виробу фактичного тиражу         -                                                         вартість крою одного виробу при оптимальному тиражі
250","Вартість крою одного виробу фактичного тиражу        -                                                          тираж
10","Вартість крою одного виробу фактичного тиражу         -                                                        тираж
20","Вартість крою одного виробу фактичного тиражу         -                                                        тираж
30","Вартість крою одного виробу фактичного тиражу        -                                                         тираж
50","Вартість крою одного виробу фактичного тиражу                                                                 - тираж
60","Вартість крою одного виробу фактичного тиражу         -                                                         тираж
 70","Вартість крою одного виробу фактичного тиражу        -                                                         тираж
100","Вартість крою одного виробу фактичного тиражу        -                                                         тираж 
200","Вартість крою одного виробу фактичного тиражу         -                                                        тираж 
250","час крою 5-8  розмірів людино годин (оплата праці двох закрійників, стосується лише трикотажу)","фактичний час крою 5-8 розмірів  (вироб.потужності) настил здійснюється 2 закрійниками, стосується лише трикотажу)",Час крою коли працює 2 людини,тираж кратність ,Коефіцієнт прибутку,Коефіцієнт прибутку,Пакування виробу в пакет за шт (оплата праці)
фартухи,"Фартух з нагрудником  зав""язки Х - 85 см довж. * 90 см  шир. ",35,1500,43,5,3,129,100,400,4,40,20,13,8,7,6,4,2,"1,6",2,"2,0",,20/50/100/200,5-7,6,4
фартухи,Фартух Без нагрудника стандартний - 70 см довж. * 90 см  шир. ,35,1500,43,5,3,129,100,400,4,40,20,13,8,7,6,4,2,"1,6",2,"2,0",,20/50/100/200,5-7,6,4
фартухи,Фартух Без нагрудника  укорочений -  50 см довж. * 90 см  шир. ,35,1500,43,5,3,129,100,400,4,40,20,13,8,7,6,4,2,"1,6",2,"2,0",,20/50/100/200,5-7,6,4
фартухи,Фартух двосторонній ,70,1500,21,3,3,64,50,400,8,40,20,13,8,7,6,4,2,"1,6",2,"2,0",,20/50/100/200,4-6,5,4
фартухи,Фартух дитячий з нагрудником ,35,1500,43,5,3,129,100,400,4,40,20,13,8,7,6,4,2,"1,6",2,"2,0",,20/50/100/200,4-6,5,4
фартухи,Фартух перукарський ,40,1500,38,5,3,113,100,400,4,40,20,13,8,7,6,4,2,"1,6",2,"2,0",,20/50/100/200,4-6,5,4
фартухи,Пеньюар перукарський ,25,1500,60,8,3,180,50,400,8,40,20,13,8,7,6,4,2,"1,6",2,"2,0",,20/50/100/200,4-6,5,4
кітелі,Кітель кухарський чол,160,1500,9,1,3,28,125,3200,26,320,160,107,64,53,46,32,16,"12,8",16,"16,0",,10/30/50/100,4-6,5,4
кітелі,Кітель кухарський жін,160,1500,9,1,3,28,125,3200,26,320,160,107,64,53,46,32,16,"12,8",16,"16,0",,10/30/50/100,4-6,5,4
кітелі,Кітель кухарський дит,130,1500,12,1,3,35,125,3200,26,320,160,107,64,53,46,32,16,"12,8",16,"16,0",,10/30/50/100,4-6,5,4
головні убори ,Кухарський ковпак  унісекс,20,1500,75,9,3,225,100,400,4,40,20,13,8,7,6,4,2,"1,6",2,"2,0",,10/30/50/100,6,6,4
головні убори ,Кухарський ковпак дит.,20,1500,75,9,3,225,100,400,4,40,20,13,8,7,6,4,2,"1,6",2,"2,0",,10/30/50/100,6,6,4
головні убори ,"Пов""язка на голову ",18,1500,83,10,3,250,100,400,4,40,20,13,8,7,6,4,2,"1,6",2,"2,0",,20/50/100/200,4-7,6,
головні убори ,Медична шапочка  унісекс,20,1500,75,9,3,225,100,400,4,40,20,13,8,7,6,4,2,,2,"2,0",,10/30/50/100,4-7,6,4
блузи ,Медична блуза 1 чол. (хірург)  чол,70,1500,21,3,3,64,125,2000,16,200,100,67,40,33,29,20,,,10,"10,0",,10/30/70/100,6,6,4
блузи ,Медична блуза 1 (хірург)  жін,70,1500,21,3,3,64,125,2000,16,200,100,67,40,33,29,20,,,10,"10,0",,10/30/70/100,6,6,4
блузи ,Медична блуза 1 (хірург) рукав 3/4  жін,70,1500,21,3,3,64,125,2000,16,200,100,67,40,33,29,20,,,10,"10,0",,10/30/70/100,6,6,4
блузи ,Медична блуза 2 (на кнопки)  чол,115,1500,13,2,3,39,125,1600,13,160,80,53,32,27,23,16,,,8,"8,0",,10/30/70/100,4-6,5,4
блузи ,Медична блуза 2 (на кнопки)  жін,115,1500,13,2,3,39,125,3200,26,320,160,107,64,53,46,32,,,16,"16,0",,10/30/70/100,4-6,5,4
блузи ,Медична блуза 3 ( на блиск.) ,105,1500,14,2,3,43,125,3200,26,320,160,107,64,53,46,32,,,16,"16,0",,10/30/70/100,4-6,5,4
штани,Штани пояс гумка  чол,70,1500,21,3,3,64,125,1600,13,160,80,53,32,27,23,16,,,8,"8,0",,10/30/70/100,6,6,4
штани,Штани пояс гумка  жін,70,1500,21,3,3,64,125,1600,13,160,80,53,32,27,23,16,,,8,"8,0",,10/30/70/100,6,6,4
штани,Штани з гульфіком   чол,90,1500,17,2,3,50,125,2000,16,200,100,67,40,33,29,20,,,10,"10,0",,20/50/100/200,4-6,5,4
штани,Штани з гульфіком  жін,90,1500,17,2,3,50,125,2000,16,200,100,67,40,33,29,20,,,10,"10,0",,20/50/100/200,4-6,5,4
штани,Штани класичні на кант з гульфіком жін,100,1500,15,2,3,45,125,2000,16,200,100,67,40,33,29,20,,,10,"10,0",,10/30/70/100,4-6,5,4
жилеткі,Жилетка класична чол,150,1500,10,1,3,30,125,2000,16,200,100,67,40,33,29,20,,,10,"10,0",,10/30/70/100,4-6,5,4
жилеткі,Жилетка класична жін,150,1500,10,1,3,30,125,2000,16,200,100,67,40,33,29,20,,,10,"10,0",,10/30/70/100,4-6,5,4
жилеткі,Жилетка утеплена унісекс,120,1500,13,2,3,38,125,2000,16,200,100,67,40,33,29,20,,,10,"10,0",,20/50/100/200,4-6,5,4
жилеткі,Жилетка утеплена дит,120,1500,13,2,3,38,125,2000,16,200,100,67,40,33,29,20,,,10,"10,0",,20/50/100/200,4-6,5,4
жилеткі,Жилетка утеплена комб. з 2-х кольорів унісекс,130,1500,12,1,3,35,125,2400,19,240,120,80,48,40,34,24,,,12,"12,0",,20/50/100/200,4-6,5,4
жилеткі,Жилетка утеплена з Капюшоном відстібний унісекс,150,1500,10,1,3,30,125,2400,19,240,120,80,48,40,34,24,,,12,"12,0",,20/50/100/200,4-6,5,4
жилеткі,Жилетка софтшел унісекс,100,1500,15,2,3,45,125,1600,13,160,80,53,32,27,23,16,,,8,"8,0",,20/50/100/200,4-6,5,4
жилеткі,Жилетка флісова  унісекс,80,1500,19,2,3,56,125,1600,13,160,80,53,32,27,23,16,,,8,"5,3","2,7",20/50/100/200,4-6,5,4
жилеткі,"Жилет літній  на кнопки(робочий, сигнальний) унісекс",60,1500,25,3,3,75,100,400,4,40,20,13,8,7,6,4,2,"1,6",2,"2,0",,20/50/100/200,4-6,5,4
жилеткі,"Жилет літній  на підкладці , застібка блискавка унісекс",100,1500,15,2,3,45,100,800,8,80,40,27,16,13,11,8,4,"3,2",4,"4,0",,20/50/100/200,4-6,5,4
жилеткі,"Жилет  майстра літній  на підкладці , 7 накладних кишень, застібка блискавка  унісекс",130,1500,12,1,3,35,100,800,8,80,40,27,16,13,11,8,4,"3,2",4,"4,0",,20/50/100/200,4-6,5,4
сорочки,Сорочка класична довгий рукав чол,120,1500,13,2,3,38,125,4000,32,400,200,133,80,67,57,40,20,16,20,"20,0",,10/30/70/100,4-6,5,4
сорочки,Сорочка класична довгий рукав жін,120,1500,13,2,3,38,125,4000,32,400,200,133,80,67,57,40,20,16,20,"20,0",,10/30/70/100,4-6,5,4
сорочки,Сорочка класична короткий рукав чол,100,1500,15,2,3,45,125,4000,32,400,200,133,80,67,57,40,20,16,20,"20,0",,10/30/70/100,4-6,5,4
сорочки,Сорочка класична короткий рукав жін,100,1500,15,2,3,45,125,4000,32,400,200,133,80,67,57,40,20,16,20,"20,0",,10/30/70/100,4-6,5,4
халати ,Халат приталений (з рельєфами) рукав 3/4 жін,120,1500,13,2,3,38,125,3200,26,320,160,107,64,53,46,32,16,"12,8",16,"16,0",,10/30/70/100,4-6,5,4
халати ,Халат Прямий крій довгий рукав чол,110,1500,14,2,3,41,125,2000,16,200,100,67,40,33,29,20,10,8,10,"10,0",,10/30/70/100,4-6,5,4
халати ,Халат Прямий крій довгий рукав жін,110,1500,14,2,3,41,125,2000,16,200,100,67,40,33,29,20,10,8,10,"10,0",,10/30/70/100,4-6,5,4
куртки ,"Куртка вітрівка з капюшоном , три зовн.кишені на блискавку, підкладка унісекс",210,1500,7,1,3,21,125,4000,32,400,200,133,80,67,57,40,20,16,20,"20,0",,10/30/70/100,4-6,5,4
куртки ,"Куртка вітрівка  Капюшон відстібний, три зовн.кишені на блискавку, підкладка  унісекс",220,1500,7,1,3,20,125,2600,21,260,130,87,52,43,37,26,13,,13,"13,0",,10/30/70/100,4-6,5,4
куртки ,Куртка вітрівка  унісекс без капюшона,190,1500,8,1,3,24,125,2000,16,200,100,67,40,33,29,20,10,,10,"10,0",,10/30/70/100,4-6,5,4
